,instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
170,171,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311
600,601,3,1,8,0,4,1,1,0.695833,0.637008,0.635833,0.0845958,1363,6402
662,663,4,1,10,0,3,1,1,0.5875,0.558721,0.63625,0.0727792,795,6898
506,507,2,1,5,0,1,1,2,0.598333,0.565667,0.81125,0.233204,630,3729
349,350,4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,178,3399
547,548,3,1,7,0,0,0,1,0.815833,0.750629,0.51875,0.168529,1421,4110
586,587,3,1,8,0,4,1,1,0.755833,0.699508,0.620417,0.1561,1196,6090
353,354,4,0,12,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,216,3534
664,665,4,1,10,0,5,1,2,0.545833,0.52275,0.807083,0.132467,1182,6262
584,585,3,1,8,0,2,1,2,0.735833,0.697621,0.70375,0.116908,1278,5995
83,84,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910
82,83,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699
635,636,4,1,9,0,4,1,2,0.65,0.607975,0.690833,0.134342,751,6642
669,670,4,1,10,0,3,1,2,0.3575,0.3611,0.666667,0.166667,419,5147
365,366,1,1,1,0,0,0,1,0.37,0.375621,0.6925,0.192167,686,1608
304,305,4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410,3658
715,716,4,1,12,0,0,0,2,0.3625,0.369938,0.83875,0.100742,538,3248
433,434,1,1,3,0,5,1,2,0.410833,0.397083,0.407083,0.4148,447,4122
21,22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888
544,545,3,1,6,0,4,1,1,0.749167,0.675512,0.4225,0.17165,921,5958
645,646,4,1,10,0,0,0,2,0.415833,0.419813,0.708333,0.141162,781,2729
535,536,2,1,6,0,2,1,1,0.688333,0.654692,0.69,0.148017,968,5857
285,286,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623
373,374,1,1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989,106,2270
238,239,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889
293,294,4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676,3628
13,14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367
447,448,2,1,3,0,5,1,2,0.601667,0.570067,0.694167,0.1163,2469,5893
549,550,3,1,7,0,2,1,1,0.780833,0.70265,0.492083,0.126237,1052,5608
502,503,2,1,5,0,4,1,1,0.593333,0.572613,0.52,0.229475,1242,6142
416,417,1,1,2,0,2,1,1,0.287826,0.295113,0.594348,0.205717,163,3614
130,131,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632
381,382,1,1,1,0,2,1,2,0.373043,0.364278,0.716087,0.34913,127,2808
663,664,4,1,10,0,4,1,2,0.55,0.529688,0.800417,0.124375,875,6484
323,324,4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,787,2733
521,522,2,1,6,0,2,1,2,0.540833,0.525892,0.613333,0.209575,968,6033
115,116,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722
209,210,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176
237,238,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893
132,133,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413
88,89,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368
367,368,1,1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671,89,2147
64,65,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491
676,677,4,1,11,0,3,1,2,0.295833,0.274621,0.5475,0.304108,326,4709
195,196,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220
673,674,4,1,11,0,0,0,1,0.325833,0.329538,0.532917,0.179108,1201,3906
231,232,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277
583,584,3,1,8,0,1,1,2,0.7525,0.710246,0.654167,0.129354,1233,5780
50,51,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173
280,281,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174
397,398,1,1,2,0,4,1,2,0.399167,0.398971,0.672917,0.187187,190,3571
574,575,3,1,7,0,6,0,1,0.755833,0.697604,0.613333,0.15735,2234,4451
270,271,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,3427
644,645,4,1,10,0,6,0,1,0.554167,0.538521,0.664167,0.268025,3031,4934
571,572,3,1,7,0,3,1,1,0.724167,0.654054,0.45,0.1648,1383,6790
289,290,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713,3857
402,403,1,1,2,0,2,1,1,0.354167,0.361104,0.49625,0.147379,199,4176
27,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129
42,43,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184
197,198,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296
250,251,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689
562,563,3,1,7,0,1,1,1,0.763333,0.724125,0.645,0.164187,1088,5742
390,391,1,1,1,0,4,1,2,0.341667,0.35605,0.769583,0.0733958,244,3831
124,125,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819
522,523,2,1,6,0,3,1,1,0.554167,0.542292,0.61125,0.077125,1027,6028
201,202,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152
376,377,1,1,1,0,4,1,2,0.3825,0.381938,0.802917,0.180967,269,3828
240,241,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905
552,553,3,1,7,0,5,1,1,0.828333,0.752533,0.450833,0.146142,1366,4841
7,8,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891
421,422,1,1,2,0,0,0,1,0.279167,0.268308,0.41,0.205229,515,2874
407,408,1,1,2,0,0,0,1,0.1275,0.101658,0.464583,0.409212,73,1456
341,342,4,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,150,3172
482,483,2,1,4,0,5,1,1,0.4575,0.452637,0.400833,0.347633,1014,5219
705,706,4,1,12,0,4,1,1,0.255833,0.258204,0.50875,0.174754,340,5035
143,144,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833
45,46,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675
636,637,4,1,9,0,5,1,2,0.619167,0.585863,0.69,0.164179,1045,6370
700,701,4,1,12,0,6,0,2,0.298333,0.316904,0.806667,0.0597042,951,4240
592,593,3,1,8,0,3,1,1,0.706667,0.654037,0.619583,0.169771,1198,6149
372,373,1,1,1,0,0,0,1,0.3375,0.340258,0.465,0.191542,599,2826
461,462,2,1,4,0,5,1,1,0.403333,0.390767,0.377083,0.300388,1807,4653
113,114,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481
611,612,3,1,9,1,1,0,1,0.7075,0.661629,0.790833,0.151121,1965,4069
134,135,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971
555,556,3,1,7,0,1,1,2,0.710833,0.654054,0.683333,0.180975,998,5571
248,249,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506
200,201,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688
17,18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674
333,334,4,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,188,3425
497,498,2,1,5,0,6,0,1,0.564167,0.544817,0.480417,0.123133,2622,4807
206,207,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840
599,600,3,1,8,0,3,1,1,0.6675,0.621854,0.677083,0.0702833,1094,6281
171,172,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061
59,60,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714
123,124,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378
441,442,1,1,3,0,6,0,2,0.514167,0.505046,0.755833,0.110704,3155,4681
520,521,2,1,6,0,1,1,1,0.5975,0.578283,0.487083,0.284833,1071,5927
74,75,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871
539,540,3,1,6,0,6,0,1,0.731667,0.652792,0.534583,0.179721,2657,4801
249,250,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878
420,421,1,1,2,0,6,0,1,0.290833,0.255675,0.395833,0.421642,317,2415
150,151,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309
239,240,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919
640,641,4,1,10,0,2,1,3,0.590833,0.542333,0.871667,0.104475,315,4324
528,529,2,1,6,0,2,1,2,0.653333,0.597875,0.833333,0.214546,477,4495
321,322,4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,245,3147
612,613,3,1,9,0,2,1,1,0.725833,0.686888,0.755,0.236321,867,5997
256,257,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138
56,57,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545
264,265,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240
73,74,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767
479,480,2,1,4,0,2,1,1,0.413333,0.405283,0.454167,0.249383,518,5115
719,720,4,1,12,0,4,1,2,0.33,0.335217,0.667917,0.132463,314,3814
140,141,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547
